"Name","Status","DisplayName"
"Appinfo","Running","Application Information"
"AudioEndpointBuilder","Running","Windows Audio Endpoint Builder"
"Audiosrv","Running","Windows Audio"
"BFE","Running","Base Filtering Engine"
"BrokerInfrastructure","Running","Background Tasks Infrastructure Service"
"BTAGService","Running","Bluetooth Audio Gateway Service"
"BthAvctpSvc","Running","AVCTP service"
"bthserv","Running","Bluetooth Support Service"
"camsvc","Running","Capability Access Manager Service"
"cbdhsvc_2229b","Running","cbdhsvc_2229b"
"CDPSvc","Running","Connected Devices Platform Service"
"CDPUserSvc_2229b","Running","CDPUserSvc_2229b"
"COMSysApp","Running","COM+ System Application"
"CoreMessagingRegistrar","Running","CoreMessaging"
"CryptSvc","Running","Cryptographic Services"
"DcomLaunch","Running","DCOM Server Process Launcher"
"DeviceAssociationService","Running","Device Association Service"
"Dhcp","Running","DHCP Client"
"DiagTrack","Running","Connected User Experiences and Telemetry"
"DispBrokerDesktopSvc","Running","Display Policy Service"
"Dnscache","Running","DNS Client"
"DoSvc","Running","Delivery Optimization"
"DPS","Running","Diagnostic Policy Service"
"DsSvc","Running","Data Sharing Service"
"DusmSvc","Running","Data Usage"
"EventLog","Running","Windows Event Log"
"EventSystem","Running","COM+ Event System"
"FontCache","Running","Windows Font Cache Service"
"InstallService","Running","Microsoft Store Install Service"
"iphlpsvc","Running","IP Helper"
"KeyIso","Running","CNG Key Isolation"
"LanmanServer","Running","Server"
"LanmanWorkstation","Running","Workstation"
"lfsvc","Running","Geolocation Service"
"LicenseManager","Running","Windows License Manager Service"
"lmhosts","Running","TCP/IP NetBIOS Helper"
"LSM","Running","Local Session Manager"
"mpssvc","Running","Windows Defender Firewall"
"MSDTC","Running","Distributed Transaction Coordinator"
"NcbService","Running","Network Connection Broker"
"Netman","Running","Network Connections"
"netprofm","Running","Network List Service"
"NlaSvc","Running","Network Location Awareness"
"nsi","Running","Network Store Interface Service"
"OneSyncSvc_2229b","Running","OneSyncSvc_2229b"
"PcaSvc","Running","Program Compatibility Assistant Service"
"PimIndexMaintenanceSvc_2229b","Running","PimIndexMaintenanceSvc_2229b"
"PlugPlay","Running","Plug and Play"
"Power","Running","Power"
"ProfSvc","Running","User Profile Service"
"RasMan","Running","Remote Access Connection Manager"
"RmSvc","Running","Radio Management Service"
"RpcEptMapper","Running","RPC Endpoint Mapper"
"RpcSs","Running","Remote Procedure Call (RPC)"
"SamSs","Running","Security Accounts Manager"
"Schedule","Running","Task Scheduler"
"SecurityHealthService","Running","Windows Security Service"
"SEMgrSvc","Running","Payments and NFC/SE Manager"
"SENS","Running","System Event Notification Service"
"SgrmBroker","Running","System Guard Runtime Monitor Broker"
"ShellHWDetection","Running","Shell Hardware Detection"
"Spooler","Running","Print Spooler"
"SSDPSRV","Running","SSDP Discovery"
"SstpSvc","Running","Secure Socket Tunneling Protocol Service"
"StateRepository","Running","State Repository Service"
"StorSvc","Running","Storage Service"
"SysMain","Running","SysMain"
"SystemEventsBroker","Running","System Events Broker"
"TabletInputService","Running","Touch Keyboard and Handwriting Panel Service"
"Themes","Running","Themes"
"TimeBrokerSvc","Running","Time Broker"
"TokenBroker","Running","Web Account Manager"
"TrkWks","Running","Distributed Link Tracking Client"
"UnistoreSvc_2229b","Running","UnistoreSvc_2229b"
"UserDataSvc_2229b","Running","UserDataSvc_2229b"
"UserManager","Running","User Manager"
"UsoSvc","Running","Update Orchestrator Service"
"VaultSvc","Running","Credential Manager"
"VGAuthService","Running","VMware Alias Manager and Ticket Service"
"vm3dservice","Running","VMware SVGA Helper Service"
"VMTools","Running","VMware Tools"
"WaaSMedicSvc","Running","Windows Update Medic Service"
"WbioSrvc","Running","Windows Biometric Service"
"Wcmsvc","Running","Windows Connection Manager"
"WdiServiceHost","Running","Diagnostic Service Host"
"WdiSystemHost","Running","Diagnostic System Host"
"WdNisSvc","Running","Microsoft Defender Antivirus Network Inspection Service"
"WinDefend","Running","Microsoft Defender Antivirus Service"
"WinHttpAutoProxySvc","Running","WinHTTP Web Proxy Auto-Discovery Service"
"Winmgmt","Running","Windows Management Instrumentation"
"WpnService","Running","Windows Push Notifications System Service"
"WpnUserService_2229b","Running","WpnUserService_2229b"
"wscsvc","Running","Security Center"
"WSearch","Running","Windows Search"
